,airline_sentiment,tweet_coord
21,positive,"[40.74804263, -73.99295302]"
28,negative,"[42.361016, -71.02000488]"
29,neutral,"[33.94540417, -118.4062472]"
32,negative,"[33.94209449, -118.40410103]"
34,positive,"[33.2145038, -96.9321504]"
42,neutral,"[34.0219817, -118.38591198]"
62,neutral,"[33.57963333, -117.73024772]"
69,negative,"[40.6413712, -73.78311558]"
74,positive,"[36.08457854, -115.13780136]"
108,neutral,"[37.79374402, -122.39327564]"
115,negative,"[26.074379, -80.1416831]"
124,positive,"[33.9469039, -118.40716847]"
126,negative,"[51.04345575, -114.06071363]"
128,neutral,"[40.64662464, -73.77090177]"
147,positive,"[33.94652852, -118.40766257]"
189,positive,"[38.9128188, -77.00798226]"
205,positive,"[32.84359605, -96.84910929]"
211,negative,"[32.8437698, -96.84928399]"
249,negative,"[26.06726717, -80.14433663]"
264,positive,"[32.8454782, -96.8504585]"
285,neutral,"[39.24087254, -94.63994975]"
303,positive,"[37.77465018, -122.44032176]"
337,neutral,"[33.94696831, -118.40747994]"
409,negative,"[40.63767372, -74.11075451]"
473,neutral,"[40.78986648, -73.10068286]"
475,positive,"[42.5696777, -71.42056878]"
499,neutral,"[37.80065252, -122.43857414]"
503,neutral,"[36.08546367, -115.31814055]"
511,negative,"[19.43706642, -99.07927123]"
527,positive,"[39.8621249, -104.6740909]"
585,negative,"[52.59657643, -2.19877833]"
631,neutral,"[29.98386923, -95.33729612]"
632,negative,"[29.98340611, -95.33682231]"
633,negative,"[29.98350019, -95.33675519]"
634,negative,"[29.98377529, -95.33756559]"
636,negative,"[29.98350283, -95.33678993]"
637,negative,"[29.98384925, -95.3374653]"
638,negative,"[29.98372726, -95.33734532]"
672,negative,"[29.98521945, -90.25215941]"
673,negative,"[29.98698389, -90.25081767]"
674,negative,"[29.98699328, -90.25081691]"
676,negative,"[29.98878092, -90.25836915]"
677,negative,"[29.9880285, -90.25781369]"
684,negative,"[29.987463, -90.25860012]"
685,negative,"[29.98746669, -90.25862007]"
687,positive,"[35.8057062, -78.7869445]"
689,negative,"[52.48854137, -1.91022836]"
712,negative,"[45.58711296, -122.58038932]"
721,positive,"[59.38247253, 18.00789007]"
756,negative,"[32.86680572, -80.01338439]"
766,neutral,"[41.9785651, -87.90833965]"
768,neutral,"[53.36729431, -2.27861694]"
769,negative,"[41.98202331, -87.90374263]"
787,neutral,"[37.7994546, -122.427629]"
796,negative,"[41.97777091, -87.90782014]"
804,negative,"[41.88298649, -87.63403627]"
809,neutral,"[35.8056542, -78.786848]"
820,negative,"[33.9411179, -118.3972405]"
829,negative,"[41.98191311, -87.80888924]"
840,negative,"[39.85862444, -104.6768992]"
846,positive,"[38.9470418, -77.4511456]"
850,negative,"[41.97758714, -87.91388554]"
854,positive,"[38.9470207, -77.4511745]"
914,negative,"[40.68545235, -74.18374208]"
921,neutral,"[51.3228181, 5.3576138]"
936,negative,"[26.07324041, -80.14510971]"
943,negative,"[40.69943599, -74.17868875]"
946,negative,"[26.07694041, -80.13546475]"
952,negative,"[40.6992418, -74.17884798]"
969,negative,"[28.62111274, -81.29294408]"
976,negative,"[40.69814396, -74.17906717]"
977,negative,"[39.85790482, -104.67039013]"
979,negative,"[39.85799572, -104.67056217]"
1002,negative,"[51.72050559, 8.72711201]"
1018,negative,"[29.7420124, -95.5606921]"
1027,negative,"[40.6875448, -74.17714813]"
1039,negative,"[19.43493094, -99.18877967]"
1052,negative,"[29.7421541, -95.5600896]"
1063,negative,"[41.97745295, -87.91025951]"
1069,negative,"[41.97475934, -87.89040377]"
1071,positive,"[51.322819, 5.3576218]"
1072,negative,"[41.97474769, -87.89039148]"
1075,negative,"[41.97758466, -87.91065356]"
1085,negative,"[29.98788997, -95.34470061]"
1106,negative,"[45.52146907, -122.69810485]"
1117,negative,"[41.97495038, -87.89005988]"
1162,negative,"[29.98877308, -95.33846478]"
1238,negative,"[41.97883697, -87.90639116]"
1265,neutral,"[45.67920767, -111.04847652]"
1279,negative,"[41.97888728, -87.90617197]"
1293,negative,"[33.64323551, -84.44248239]"
1299,neutral,"[40.69450196, -74.1749219]"
1337,negative,"[39.24541389, -106.88172648]"
1343,positive,"[20.0615871, 110.18390431]"
1413,negative,"[39.84911904, -104.67447584]"
1418,negative,"[36.08161548, -115.14959772]"
1442,neutral,"[27.9746606, -82.5320172]"
1451,negative,"[45.67922537, -111.04823044]"
1455,negative,"[45.67922693, -111.04839797]"
1456,negative,"[45.67925887, -111.04844481]"
1457,negative,"[45.67912434, -111.04847959]"
1461,negative,"[29.98378319, -95.33473143]"
1468,neutral,"[-38.0271635, 145.2112317]"
